id,cnvd_title,cnvd_id,cnvd_date,cnvd_level,cnvd_product,cnvd_cve_id,cnvd_bug_id,cnvd_description,cnvd_reference,cnvd_solution,cnvd_patch,cnvd_update
11,Siemens SIMATIC S7-300 CPU拒绝服务漏洞（CNVD-2019-00986）,CNVD-2019-00986,2019/1/10,高,SIEMENSSIMATICS7-300CPU<V3.X.16,CVE-2018-16561,0,SiemensSIMATICS7-300CPU是西门子（Siemens）公司的一款用于制造行业的模块化通用控制器。SiemensSIMATICS7-300CPU存在拒绝服务漏洞。该漏洞是由于受影响的CPU未能正确地验证S7通信包，允许攻击者利用该漏洞导致CPU的拒绝服务状态。,https://cert-portal.siemens.com/productcert/pdf/ssa-306710.pdf,用户可参考如下供应商提供的安全公告获得补丁信息：https://cert-portal.siemens.com/productcert/pdf/ssa-306710.pdf,Siemens SIMATIC S7-300 CPU拒绝服务漏洞（CNVD-2019-00986）的补丁,2019/1/10
12,LCDS LAquis SCADA路径遍历漏洞,CNVD-2019-02385,2019/1/22,中,LCDS-LeãoConsultoriaeDesenvolvimentodeSistemasLTDAMELAquisSCADA4.1.0.3870,CVE-2018-18990,0,LCDSLAquisSCADA是巴西LCDS公司的一套SCADA（数据采集与监视控制）系统。该系统主要用于对拥有通信技术的设备进行数据采集和过程控制。LCDSLAquisSCADA4.1.0.3870版本中存在路径遍历漏洞，该漏洞源于在使用用户提交的路径之前，程序未能正确地进行验证，远程攻击者可利用该漏洞在Web服务器进程的上下文中泄露敏感信息。,https://ics-cert.us-cert.gov/advisories/ICSA-19-015-01,厂商已发布了漏洞修复程序，请及时关注更新：https://laquisscada.com/,LCDS LAquis SCADA路径遍历漏洞的补丁,2019/1/22
13,SIEMENS ICAM A8000系列拒绝服务漏洞,CNVD-2019-00990,2019/1/10,中,SIEMENSSICAMA8000CP-8050<V2.00SIEMENSSICAMA8000CP-8000<V14SIEMENSSICAMA8000CP-802X<V14,CVE-2018-13798,0,"SIEMENS是凭借电气化、自动化和数字化领域的创新,在发电和输配电、基础设施、工业自动化、驱动和软件等领域为客户提供解决方案。SIEMENSICAMA8000系列存在拒绝服务漏洞。允许未经身份验证的远程攻击者导致Web服务器的拒绝服务状态。",https://cert-portal.siemens.com/productcert/pdf/ssa-579309.pdf,用户可参考如下供应商提供的安全公告获得补丁信息：https://cert-portal.siemens.com/productcert/pdf/ssa-579309.pdf,SIEMENS ICAM A8000系列拒绝服务漏洞的补丁,2019/1/10
14,SIEMENS CP1604和CP1616设备跨站请求伪造漏洞,CNVD-2019-00989,2019/1/10,中,SIEMENSCP1604<V2.8SIEMENSCP1616<V2.8,CVE-2018-13810,0,SIEMENSCP1604是用于将PCI-104系统连接到PROFINETIO。SIEMENSCP1616是一种创新产品，安装在PC中，用于PROFINET通讯。SIEMENSCP1604和CP1616设备存在跨站请求伪造漏洞。允许攻击者通过合法用户执行的Web界面触发操作。,https://cert-portal.siemens.com/productcert/pdf/ssa-559174.pdf,用户可参考如下供应商提供的安全公告获得补丁信息：https://cert-portal.siemens.com/productcert/pdf/ssa-559174.pdf,SIEMENS CP1604和CP1616设备跨站请求伪造漏洞的补丁,2019/1/10
15,Emerson DeltaV Distributed Control System身份验证绕过漏洞,CNVD-2019-01681,2019/1/16,中,EmersonElectricDeltaVDistributedControlSystem11.3.1EmersonElectricDeltaVDistributedControlSystem11.3.2EmersonElectricDeltaVDistributedControlSystem12.3.1EmersonElectricDeltaVDistributedControlSystem13.3.1EmersonElectricDeltaVDistributedControlSystem14.3Em,CVE-2018-19021,106522,EmersonDeltaVDistributedControlSystem是美国艾默生电气（EmersonElectric）公司的一套自动化分布式控制系统。该系统包括网络安全管理、报警管理、批量控制和变更管理等功能。EmersonDeltaVDistributedControlSystem中存在身份验证绕过漏洞，远程攻击者可利用该漏洞绕过身份验证机制并造成拒绝服务。,http://www.securityfocus.com/bid/106522,厂商已发布了漏洞修复程序，请及时关注更新：https://www.emerson.com/,Emerson DeltaV Distributed Control System身份验证绕过漏洞的补丁,2019/1/16
16,Omron CX-One CX-Protocol任意代码执行漏洞,CNVD-2019-01682,2019/1/16,高,OMRONCX-One<=4.50OMRONCX-Protocol<=2.0,CVE-2018-19027,106524,OmronCX-One是日本（欧姆龙）Omron公司的一套集成工具包，其中包括了用于网络、PT、变频器、温度控制器以及PLC编程软件等。CX-Protocol是其中的一个用于创建串行通信协议与标准串行设备通信的组件。OmronCX-One4.50及之前版本中的CX-Protocol2.0及之前版本存在任意代码执行漏洞，远程攻击者可利用该漏洞在受影响应用程序的上下文中执行任意代码或造成拒绝服务。,http://www.securityfocus.com/bid/106524,厂商已发布了漏洞修复程序，请及时关注更新：https://www.omron.com/,Omron CX-One CX-Protocol任意代码执行漏洞的补丁,2019/1/16
17,Netbiter WS100跨站脚本漏洞,CNVD-2019-01711,2019/1/16,中,HMSIndustrialNetworksABNetbiterWS100<=3.30.5,CVE-2018-19694,0,NetbiterWS100是一种用于工业控制的远程管理解决方案（如应急发电机）。NetbiterWS100存在跨站脚本漏洞。攻击者可利用漏洞注入任意的Web脚本或HTML。,https://seclists.org/bugtraq/2019/Jan/9,用户可联系供应商获得补丁信息：https://seclists.org/bugtraq/2019/Jan/9,Netbiter WS100跨站脚本漏洞的补丁,2019/1/16
18,LCDS LAquis SCADA越界写入漏洞,CNVD-2019-02389,2019/1/22,高,LCDS-LeãoConsultoriaeDesenvolvimentodeSistemasLTDAMELAquisSCADA4.1.0.3870,CVE-2018-18994,0,LCDSLAquisSCADA是巴西LCDS公司的一套SCADA（数据采集与监视控制）系统。该系统主要用于对拥有通信技术的设备进行数据采集和过程控制。LCDSLAquisSCADA4.1.0.3870版本中存在越界写入漏洞，远程攻击者可借助特制的项目文件利用该漏洞造成系统崩溃或造成数据泄露。,https://ics-cert.us-cert.gov/advisories/ICSA-19-015-01,厂商已发布了漏洞修复程序，请及时关注更新：https://laquisscada.com/,LCDS LAquis SCADA越界写入漏洞的补丁,2019/1/22
19,LAquis SCADA输入验证漏洞,CNVD-2019-02384,2019/1/22,高,LCDS-LeãoConsultoriaeDesenvolvimentodeSistemasLTDAMELAquisSCADA4.1.0.3870,CVE-2018-18988,0,LAquisSCADA是一套用于监控和数据采集的SCADA软件。LAquisSCADA4.1.0.3870版本中存在输入验证漏洞，攻击者可借助特制的报告格式的文件利用该漏洞执行代码，泄露数据或造成系统崩溃。,https://ics-cert.us-cert.gov/advisories/ICSA-19-015-01,厂商已发布了漏洞修复程序，请及时关注更新：https://laquisscada.com/,LAquis SCADA输入验证漏洞的补丁,2019/1/22
20,LCDS LAquis SCADA代码注入漏洞,CNVD-2019-02387,2019/1/22,高,LCDS-LeãoConsultoriaeDesenvolvimentodeSistemasLTDAMELAquisSCADA4.1.0.3870,CVE-2018-19002,0,LCDSLAquisSCADA是巴西LCDS公司的一套SCADA（数据采集与监视控制）系统。该系统主要用于对拥有通信技术的设备进行数据采集和过程控制。LCDSLAquisSCADA4.1.0.3870版本中存在代码注入漏洞，攻击者可借助特制的项目文件利用该漏洞执行代码，泄露数据或造成系统崩溃。,https://ics-cert.us-cert.gov/advisories/ICSA-19-015-01,厂商已发布了漏洞修复程序，请及时关注更新：https://laquisscada.com/,LCDS LAquis SCADA代码注入漏洞的补丁,2019/1/22
21,LAquis SCADA越界写入漏洞（CNVD-2019-02386）,CNVD-2019-02386,2019/1/22,高,LCDS-LeãoConsultoriaeDesenvolvimentodeSistemasLTDAMELAquisSCADA4.1.0.3870,CVE-2018-18986,0,LCDSLAquisSCADA是巴西LCDS公司的一套SCADA（数据采集与监视控制）系统。该系统主要用于对拥有通信技术的设备进行数据采集和过程控制。LCDSLAquisSCADA4.1.0.3870版本中存在越界写入漏洞，攻击者可借助特制的报告格式的文件利用该漏洞造成系统崩溃，泄露数据或执行代码。,https://ics-cert.us-cert.gov/advisories/ICSA-19-015-01,厂商已发布了漏洞修复程序，请及时关注更新：https://laquisscada.com/,LAquis SCADA越界写入漏洞（CNVD-2019-02386）的补丁,2019/1/22
22,WellinTech KingSCADA栈缓冲区溢出漏洞（CNVD-2019-04902）,CNVD-2019-04902,2019/2/21,中,WellintechKingSCADA<3.7.0.0.1,CVE-2018-20410,0,WellinTechKingSCADA是中国亚控（WellinTech）公司的一套跨平台的SCADA系统软件。该软件具有模型应用、远程集中管理部署、多人同时开发、数据采集和处理等功能。WellinTechKingSCADA3.7.0.0.1之前版本中存在栈缓冲区溢出漏洞。攻击者可通过向监听TCP12401端口的AlarmServer服务发送特制的数据包利用该漏洞造成服务崩溃。,https://nvd.nist.gov/vuln/detail/CVE-2018-20410,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://www.wellintech.com/product-kingscada.html,,2019/2/21
23,ABB GATE-E1和GATE-E2跨站脚本漏洞,CNVD-2018-25910,2018/12/20,高,ABBGATE-E1EOL2013ABBGATE-E2EOLOCT2018,CVE-2018-18997,0,ABBGATE-E1和GATE-E2都是瑞士ABB公司的以太网网关设备。ABBGATE-E1（EOL2013）和GATE-E2（EOLOCT2018）中存在跨站脚本漏洞，远程攻击者可利用该漏洞将HTML/Javascript负载注入到任意的设备属性项中，进而在访客的浏览器中显示/执行负载。,https://ics-cert.us-cert.gov/advisories/ICSA-18-352-01,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://new.abb.com/,,2018/12/20
24,Siemens TIM 1531 IRC身份验证漏洞,CNVD-2018-25424,2018/12/14,高,SiemensTIM1531IRC<V2.0,CVE-2018-13816,0,SiemensTIM1531IRC是德国西门子（Siemens）公司的一款通信模块。SiemensTIM1531IRC2.0之前版本中存在安全漏洞，该漏洞源于在102/tcp端口上进行连接时设备未能进行正确的身份验证。攻击者可利用该漏洞执行任意管理操作。,https://cert-portal.siemens.com/productcert/pdf/ssa-982399.pdf,目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://cert-portal.siemens.com/productcert/pdf/ssa-982399.pdf,Siemens TIM 1531 IRC身份验证漏洞的补丁,2018/12/14
25,多款Siemens产品保护机制失效漏洞,CNVD-2018-25416,2018/12/14,高,SIEMENSSINUMERIK808DV4.7SIEMENSSINUMERIK808DV4.8SIEMENSSINUMERIK840D<V4.7SP6HF5SIEMENSSINUMERIK840D<V4.8SP3SIEMENSSINUMERIK828D<V4.7SP6HF1,CVE-2018-11459,0,SiemensSINUMERIK808D等都是德国西门子（Siemens）公司的数控机床系统控制器。SiemensSINUMERIKCNCController中存在安全漏洞。本地攻击者可通过修改用户可写的配置文件利用该漏洞在系统重启后或手动启动后以提升的权限执行代码。,"https://ics-cert.us-cert.gov/advisories/ICSA-18-345-02https://cert-portal.siemens.com/productcert/pdf/ssa-170881.pdf",厂商已发布了漏洞修复程序，请及时关注更新：https://cert-portal.siemens.com/productcert/pdf/ssa-170881.pdf,多款Siemens产品保护机制失效漏洞的补丁,2018/12/14
26,多款Siemens产品权限访问控制漏洞,CNVD-2018-25418,2018/12/14,中,SIEMENSSINUMERIK808DV4.7SIEMENSSINUMERIK808DV4.8SIEMENSSINUMERIK840D<V4.7SP6HF5SIEMENSSINUMERIK840D<V4.8SP3SIEMENSSINUMERIK828D<V4.7SP6HF1,CVE-2018-11461,0,SiemensSINUMERIK808D等都是德国西门子（Siemens）公司的数控机床系统控制器。SiemensSINUMERIKCNCController中存在权限访问控制漏洞。本地攻击者可利用该漏洞提升权限。,https://ics-cert.us-cert.gov/advisories/ICSA-18-345-02,厂商已发布了漏洞修复程序，请及时关注更新：https://cert-portal.siemens.com/productcert/pdf/ssa-170881.pdf,多款Siemens产品权限访问控制漏洞的补丁,2018/12/14
27,iniNet SpiderControl SCADA WebServer跨站脚本漏洞,CNVD-2018-25282,2018/12/13,中,ininetsolutionsiniNetSpiderControlSCADAWebServer<2.03.0001,CVE-2018-18991,106105,iniNetSpiderControlSCADAWebServer是瑞士iniNetSolutions公司的一款SCADA系统服务器。iniNetSpiderControlSCADAWebServer2.03.0001之前版本中存在跨站脚本漏洞。远程攻击者可通过发送特制的URL利用该漏洞执行JavaScript代码。,https://ics-cert.us-cert.gov/advisories/ICSA-18-338-02,目前厂商已发布升级补丁以修复漏洞，详情请关注厂商主页：http://spidercontrol.net/,iniNet SpiderControl SCADA WebServer跨站脚本漏洞的补丁,2018/12/14
28,Rockwell Automation Allen-Bradley PowerMonitor 1000访问控制错误漏洞,CNVD-2018-26886,2018/12/28,高,RockwellAutomationAllen-BradleyPowerMonitor1000无,CVE-2018-19616,0,RockwellAutomationAllen-BradleyPowerMonitor1000是美国罗克韦尔（RockwellAutomation）公司的一款电源监控设备。RockwellAutomationAllen-BradleyPowerMonitor1000的Web页面中存在访问控制错误漏洞，攻击者可利用该漏洞添加具有管理员权限的新用户。,http://packetstormsecurity.com/files/150619/Rockwell-Automation-Allen-Bradley-PowerMonitor-1000-Authentication-Bypass.html,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://www.rockwellautomation.com/,,2018/12/28
29,Siemens TIM 1531 IRC认证缺失漏洞,CNVD-2018-25397,2018/12/14,高,SiemensTIM1531IRC<V2.0,CVE-2018-13816,0,SiemensTIM1531IRC是德国西门子（Siemens）公司的一款通信模块。SiemensTIM1531IRC2.0之前版本中存在安全漏洞，该漏洞源于在102/tcp端口上进行连接时设备未能进行正确的身份验证。攻击者可利用该漏洞执行任意管理操作。,https://cert-portal.siemens.com/productcert/pdf/ssa-982399.pdf,目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://cert-portal.siemens.com/productcert/pdf/ssa-982399.pdf,Siemens TIM 1531 IRC认证缺失漏洞的补丁,2018/12/14
30,多款Siemens产品堆缓冲区溢出漏洞,CNVD-2018-25413,2018/12/14,高,SIEMENSSINUMERIK808DV4.7SIEMENSSINUMERIK808DV4.8SIEMENSSINUMERIK840D<V4.7SP6HF5SIEMENSSINUMERIK840D<V4.8SP3SIEMENSSINUMERIK828D<V4.7SP6HF1,CVE-2018-11457,0,SiemensSINUMERIK808D等都是德国西门子（Siemens）公司的数控机床系统控制器。SiemensSINUMERIKCNCController中存在堆缓冲区溢出漏洞。远程攻击者可通过向集成Web服务器的4842/TCP端口发送特制的网络请求利用该漏洞执行代码。,https://cert-portal.siemens.com/productcert/pdf/ssa-170881.pdf,目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://cert-portal.siemens.com/productcert/pdf/ssa-170881.pdf,多款Siemens产品堆缓冲区溢出漏洞的补丁,2018/12/14
31,多款Siemens产品整数溢出漏洞,CNVD-2018-25415,2018/12/14,高,SIEMENSSINUMERIK808DV4.7SIEMENSSINUMERIK808DV4.8SIEMENSSINUMERIK840D<V4.7SP6HF5SIEMENSSINUMERIK840D<V4.8SP3SIEMENSSINUMERIK828D<V4.7SP6HF1,CVE-2018-11458,0,SiemensSINUMERIK808D等都是德国西门子（Siemens）公司的数控机床系统控制器。SiemensSINUMERIKCNCController中存在整数溢出漏洞。远程攻击者可通过向集成VNC服务器的5900/TCP端口发送特制的网络请求利用该漏洞执行代码。,"https://ics-cert.us-cert.gov/advisories/ICSA-18-345-02https://cert-portal.siemens.com/productcert/pdf/ssa-170881.pdf",厂商已发布了漏洞修复程序，请及时关注更新：https://cert-portal.siemens.com/productcert/pdf/ssa-170881.pdf,多款Siemens产品整数溢出漏洞的补丁,2018/12/14
32,Siemens EN100 Ethernet Communication Module和SIPROTEC 5 relays拒绝服务漏洞,CNVD-2018-25425,2018/12/14,高,SIEMENSFirmwarevariantIEC61850forEN100Ethernetmodule<V4.33SIEMENSFirmwarevariantPROFINETIOforEN100Ether-netmoduleSIEMENSFirmwarevariantModbusTCPforEN100Ether-netmoduleSIEMENSFirmwarevariantDNP3TCPforEN100EthernetmoduleSIEMENSFirmwarevariantIEC104forEN100E,CVE-2018-11451,0,SiemensEN100EthernetCommunicationModule和SIPROTEC5relays都是德国西门子（Siemens）公司的产品。SiemensEN100EthernetCommunicationModule是一款以太网模块产品。SIPROTEC5relays是一款继电器。SiemensEN100EthernetCommunicationModule和SIPROTEC5relays中存在拒绝服务漏洞。攻击者可通过向102/tcp端口发送特制的数据包利用该漏洞造成拒绝服务，影响系统的,https://cert-portal.siemens.com/productcert/pdf/ssa-635129.pdf,目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://cert-portal.siemens.com/productcert/pdf/ssa-635129.pdf,Siemens EN100 Ethernet Communication Module和SIPROTEC 5 relays拒绝服务漏洞的补丁,2018/12/17
33,多款Siemens产品权限访问控制漏洞（CNVD-2018-25419）,CNVD-2018-25419,2018/12/14,高,SIEMENSSINUMERIK808DV4.7SIEMENSSINUMERIK808DV4.8SIEMENSSINUMERIK840D<V4.7SP6HF5SIEMENSSINUMERIK840D<V4.8SP3SIEMENSSINUMERIK828D<V4.7SP6HF1,CVE-2018-11462,0,SiemensSINUMERIK808D等都是德国西门子（Siemens）公司的数控机床系统控制器。多款Siemens产品中存在权限访问控制漏洞。远程攻击者可通过发送特制的身份验证请求利用该漏洞提升权限，影响系统的可用性、完整性和保密性。,https://cert-portal.siemens.com/productcert/pdf/ssa-170881.pdf,目前厂商只发布了产品828D、840D的升级补丁以修复漏洞，产品808D的升级补丁暂未发布，详情请参考链接：https://cert-portal.siemens.com/productcert/pdf/ssa-170881.pdf,多款Siemens产品权限访问控制漏洞（CNVD-2018-25419）的补丁,2018/12/14
34,多款Siemens产品保护机制失效漏洞（CNVD-2018-25417）,CNVD-2018-25417,2018/12/14,高,SIEMENSSINUMERIK808DV4.7SIEMENSSINUMERIK808DV4.8SIEMENSSINUMERIK840D<V4.7SP6HF5SIEMENSSINUMERIK840D<V4.8SP3SIEMENSSINUMERIK828D<V4.7SP6HF1,CVE-2018-11460,0,SiemensSINUMERIK808D等都是德国西门子（Siemens）公司的数控机床系统控制器。SiemensSINUMERIKCNCController中存在安全漏洞。本地攻击者可通过修改CRAMFS存档文件利用该漏洞造成系统在重启后加载被修改的CRAMFS文件，以root权限执行代码。,https://ics-cert.us-cert.gov/advisories/ICSA-18-345-02,厂商已发布了漏洞修复程序，请及时关注更新：https://cert-portal.siemens.com/productcert/pdf/ssa-170881.pdf,多款Siemens产品保护机制失效漏洞（CNVD-2018-25417）的补丁,2018/12/14
35,多款Siemens产品缓冲区溢出漏洞,CNVD-2018-25420,2018/12/14,高,SIEMENSSINUMERIK808DV4.7SIEMENSSINUMERIK808DV4.8SIEMENSSINUMERIK840D<V4.7SP6HF5SIEMENSSINUMERIK840D<V4.8SP3SIEMENSSINUMERIK828D<V4.7SP6HF1,CVE-2018-11463,0,SiemensSINUMERIK808D等都是德国西门子（Siemens）公司的数控机床系统控制器。多款Siemens产品中存在基于栈的缓冲区溢出漏洞。本地攻击者可利用该漏洞以提升的权限执行代码，影响系统的保密性、完整性和可用性。,https://cert-portal.siemens.com/productcert/pdf/ssa-170881.pdf,目前厂商只发布了产品828D、840D的升级补丁以修复漏洞，产品808D的升级补丁暂未发布，详情请参考链接：https://cert-portal.siemens.com/productcert/pdf/ssa-170881.pdf,多款Siemens产品缓冲区溢出漏洞的补丁,2018/12/14
36,多款Siemens产品拒绝服务漏洞,CNVD-2018-25421,2018/12/14,中,SIEMENSSINUMERIK808DV4.7SIEMENSSINUMERIK808DV4.8SIEMENSSINUMERIK840D<V4.7SP6HF5SIEMENSSINUMERIK840D<V4.8SP3SIEMENSSINUMERIK828D<V4.7SP6HF1,CVE-2018-11464,0,SiemensSINUMERIK808D等都是德国西门子（Siemens）公司的数控机床系统控制器。多款Siemens产品中存在安全漏洞。远程攻击者可借助5900/tcp端口上的集成VNC服务器利用该漏洞造成VNC服务器拒绝服务，影响VNC服务器的可用性。,https://cert-portal.siemens.com/productcert/pdf/ssa-170881.pdf,目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://cert-portal.siemens.com/productcert/txt/ssa-170881.txt,多款Siemens产品拒绝服务漏洞的补丁,2018/12/14
